component,date,value,yoy_pct
All items,1947-01-01,21.48,
All items,1947-02-01,21.62,
All items,1947-03-01,22.0,
All items,1947-04-01,22.0,
All items,1947-05-01,21.95,
All items,1947-06-01,22.08,
All items,1947-07-01,22.23,
All items,1947-08-01,22.4,
All items,1947-09-01,22.84,
All items,1947-10-01,22.91,
All items,1947-11-01,23.06,
All items,1947-12-01,23.41,
All items,1948-01-01,23.68,10.24
All items,1948-02-01,23.67,9.48
All items,1948-03-01,23.5,6.82
All items,1948-04-01,23.82,8.27
All items,1948-05-01,24.01,9.38
All items,1948-06-01,24.15,9.38
All items,1948-07-01,24.4,9.76
All items,1948-08-01,24.43,9.06
All items,1948-09-01,24.36,6.65
All items,1948-10-01,24.31,6.11
All items,1948-11-01,24.16,4.77
All items,1948-12-01,24.05,2.73
All items,1949-01-01,24.01,1.39
All items,1949-02-01,23.91,1.01
All items,1949-03-01,23.91,1.74
All items,1949-04-01,23.92,0.42
All items,1949-05-01,23.91,-0.42
All items,1949-06-01,23.92,-0.95
All items,1949-07-01,23.7,-2.87
All items,1949-08-01,23.7,-2.99
All items,1949-09-01,23.75,-2.5
All items,1949-10-01,23.67,-2.63
All items,1949-11-01,23.7,-1.9
All items,1949-12-01,23.61,-1.83
All items,1950-01-01,23.51,-2.08
All items,1950-02-01,23.61,-1.25
All items,1950-03-01,23.64,-1.13
All items,1950-04-01,23.65,-1.13
All items,1950-05-01,23.77,-0.59
All items,1950-06-01,23.88,-0.17
All items,1950-07-01,24.07,1.56
All items,1950-08-01,24.2,2.11
All items,1950-09-01,24.34,2.48
All items,1950-10-01,24.5,3.51
All items,1950-11-01,24.6,3.8
All items,1950-12-01,24.98,5.8
All items,1951-01-01,25.38,7.95
All items,1951-02-01,25.83,9.4
All items,1951-03-01,25.88,9.48
All items,1951-04-01,25.92,9.6
All items,1951-05-01,25.99,9.34
All items,1951-06-01,25.93,8.58
All items,1951-07-01,25.91,7.64
All items,1951-08-01,25.86,6.86
All items,1951-09-01,26.03,6.94
All items,1951-10-01,26.16,6.78
All items,1951-11-01,26.32,6.99
All items,1951-12-01,26.47,5.96
All items,1952-01-01,26.45,4.22
All items,1952-02-01,26.41,2.25
All items,1952-03-01,26.39,1.97
All items,1952-04-01,26.46,2.08
All items,1952-05-01,26.47,1.85
All items,1952-06-01,26.53,2.31
All items,1952-07-01,26.68,2.97
All items,1952-08-01,26.69,3.21
All items,1952-09-01,26.63,2.31
All items,1952-10-01,26.69,2.03
All items,1952-11-01,26.69,1.41
All items,1952-12-01,26.71,0.91
All items,1953-01-01,26.64,0.72
All items,1953-02-01,26.59,0.68
All items,1953-03-01,26.63,0.91
All items,1953-04-01,26.69,0.87
All items,1953-05-01,26.7,0.87
All items,1953-06-01,26.77,0.9
All items,1953-07-01,26.79,0.41
All items,1953-08-01,26.85,0.6
All items,1953-09-01,26.89,0.98
All items,1953-10-01,26.95,0.97
All items,1953-11-01,26.85,0.6
All items,1953-12-01,26.87,0.6
All items,1954-01-01,26.94,1.13
All items,1954-02-01,26.99,1.5
All items,1954-03-01,26.93,1.13
All items,1954-04-01,26.86,0.64
All items,1954-05-01,26.93,0.86
All items,1954-06-01,26.94,0.64
All items,1954-07-01,26.86,0.26
All items,1954-08-01,26.85,0.0
All items,1954-09-01,26.81,-0.3
All items,1954-10-01,26.72,-0.85
All items,1954-11-01,26.78,-0.26
All items,1954-12-01,26.77,-0.37
All items,1955-01-01,26.77,-0.63
All items,1955-02-01,26.82,-0.63
All items,1955-03-01,26.79,-0.52
All items,1955-04-01,26.79,-0.26
All items,1955-05-01,26.77,-0.59
All items,1955-06-01,26.71,-0.85
All items,1955-07-01,26.76,-0.37
All items,1955-08-01,26.72,-0.48
All items,1955-09-01,26.85,0.15
All items,1955-10-01,26.82,0.37
All items,1955-11-01,26.88,0.37
All items,1955-12-01,26.87,0.37
All items,1956-01-01,26.83,0.22
All items,1956-02-01,26.86,0.15
All items,1956-03-01,26.89,0.37
All items,1956-04-01,26.93,0.52
All items,1956-05-01,27.03,0.97
All items,1956-06-01,27.15,1.65
All items,1956-07-01,27.29,1.98
All items,1956-08-01,27.31,2.21
All items,1956-09-01,27.35,1.86
All items,1956-10-01,27.51,2.57
All items,1956-11-01,27.51,2.34
All items,1956-12-01,27.63,2.83
All items,1957-01-01,27.67,3.13
All items,1957-02-01,27.8,3.5
All items,1957-03-01,27.86,3.61
All items,1957-04-01,27.93,3.71
All items,1957-05-01,28.0,3.59
All items,1957-06-01,28.11,3.54
All items,1957-07-01,28.19,3.3
All items,1957-08-01,28.28,3.55
All items,1957-09-01,28.32,3.55
All items,1957-10-01,28.32,2.94
All items,1957-11-01,28.41,3.27
All items,1957-12-01,28.47,3.04
All items,1958-01-01,28.64,3.51
All items,1958-02-01,28.7,3.24
All items,1958-03-01,28.87,3.63
All items,1958-04-01,28.94,3.62
All items,1958-05-01,28.94,3.36
All items,1958-06-01,28.91,2.85
All items,1958-07-01,28.89,2.48
All items,1958-08-01,28.94,2.33
All items,1958-09-01,28.91,2.08
All items,1958-10-01,28.91,2.08
All items,1958-11-01,28.95,1.9
All items,1958-12-01,28.97,1.76
All items,1959-01-01,29.01,1.29
All items,1959-02-01,29.0,1.05
All items,1959-03-01,28.97,0.35
All items,1959-04-01,28.98,0.14
All items,1959-05-01,29.04,0.35
All items,1959-06-01,29.11,0.69
All items,1959-07-01,29.15,0.9
All items,1959-08-01,29.18,0.83
All items,1959-09-01,29.25,1.18
All items,1959-10-01,29.35,1.52
All items,1959-11-01,29.35,1.38
All items,1959-12-01,29.41,1.52
All items,1960-01-01,29.37,1.24
All items,1960-02-01,29.41,1.41
All items,1960-03-01,29.41,1.52
All items,1960-04-01,29.54,1.93
All items,1960-05-01,29.57,1.83
All items,1960-06-01,29.61,1.72
All items,1960-07-01,29.55,1.37
All items,1960-08-01,29.61,1.47
All items,1960-09-01,29.61,1.23
All items,1960-10-01,29.75,1.36
All items,1960-11-01,29.78,1.47
All items,1960-12-01,29.81,1.36
All items,1961-01-01,29.84,1.6
All items,1961-02-01,29.84,1.46
All items,1961-03-01,29.84,1.46
All items,1961-04-01,29.81,0.91
All items,1961-05-01,29.84,0.91
All items,1961-06-01,29.84,0.78
All items,1961-07-01,29.92,1.25
All items,1961-08-01,29.94,1.11
All items,1961-09-01,29.98,1.25
All items,1961-10-01,29.98,0.77
All items,1961-11-01,29.98,0.67
All items,1961-12-01,30.01,0.67
All items,1962-01-01,30.04,0.67
All items,1962-02-01,30.11,0.9
All items,1962-03-01,30.17,1.11
All items,1962-04-01,30.21,1.34
All items,1962-05-01,30.24,1.34
All items,1962-06-01,30.21,1.24
All items,1962-07-01,30.22,1.0
All items,1962-08-01,30.28,1.14
All items,1962-09-01,30.42,1.47
All items,1962-10-01,30.38,1.33
All items,1962-11-01,30.38,1.33
All items,1962-12-01,30.38,1.23
All items,1963-01-01,30.44,1.33
All items,1963-02-01,30.48,1.23
All items,1963-03-01,30.51,1.13
All items,1963-04-01,30.48,0.89
All items,1963-05-01,30.51,0.89
All items,1963-06-01,30.61,1.32
All items,1963-07-01,30.69,1.56
All items,1963-08-01,30.75,1.55
All items,1963-09-01,30.72,0.99
All items,1963-10-01,30.75,1.22
All items,1963-11-01,30.78,1.32
All items,1963-12-01,30.88,1.65
All items,1964-01-01,30.94,1.64
All items,1964-02-01,30.91,1.41
All items,1964-03-01,30.94,1.41
All items,1964-04-01,30.95,1.54
All items,1964-05-01,30.98,1.54
All items,1964-06-01,31.01,1.31
All items,1964-07-01,31.02,1.08
All items,1964-08-01,31.05,0.98
All items,1964-09-01,31.08,1.17
All items,1964-10-01,31.12,1.2
All items,1964-11-01,31.21,1.4
All items,1964-12-01,31.25,1.2
All items,1965-01-01,31.28,1.1
All items,1965-02-01,31.28,1.2
All items,1965-03-01,31.31,1.2
All items,1965-04-01,31.38,1.39
All items,1965-05-01,31.48,1.61
All items,1965-06-01,31.61,1.93
All items,1965-07-01,31.58,1.81
All items,1965-08-01,31.55,1.61
All items,1965-09-01,31.62,1.74
All items,1965-10-01,31.65,1.7
All items,1965-11-01,31.75,1.73
All items,1965-12-01,31.85,1.92
All items,1966-01-01,31.88,1.92
All items,1966-02-01,32.08,2.56
All items,1966-03-01,32.18,2.78
All items,1966-04-01,32.28,2.87
All items,1966-05-01,32.35,2.76
All items,1966-06-01,32.38,2.44
All items,1966-07-01,32.45,2.75
All items,1966-08-01,32.65,3.49
All items,1966-09-01,32.75,3.57
All items,1966-10-01,32.85,3.79
All items,1966-11-01,32.88,3.56
All items,1966-12-01,32.92,3.36
All items,1967-01-01,32.9,3.2
All items,1967-02-01,33.0,2.87
All items,1967-03-01,33.0,2.55
All items,1967-04-01,33.1,2.54
All items,1967-05-01,33.1,2.32
All items,1967-06-01,33.3,2.84
All items,1967-07-01,33.4,2.93
All items,1967-08-01,33.5,2.6
All items,1967-09-01,33.6,2.6
All items,1967-10-01,33.7,2.59
All items,1967-11-01,33.9,3.1
All items,1967-12-01,34.0,3.28
All items,1968-01-01,34.1,3.65
All items,1968-02-01,34.2,3.64
All items,1968-03-01,34.3,3.94
All items,1968-04-01,34.4,3.93
All items,1968-05-01,34.5,4.23
All items,1968-06-01,34.7,4.2
All items,1968-07-01,34.9,4.49
All items,1968-08-01,35.0,4.48
All items,1968-09-01,35.1,4.46
All items,1968-10-01,35.3,4.75
All items,1968-11-01,35.4,4.42
All items,1968-12-01,35.6,4.71
All items,1969-01-01,35.7,4.69
All items,1969-02-01,35.8,4.68
All items,1969-03-01,36.1,5.25
All items,1969-04-01,36.3,5.52
All items,1969-05-01,36.4,5.51
All items,1969-06-01,36.6,5.48
All items,1969-07-01,36.8,5.44
All items,1969-08-01,36.9,5.43
All items,1969-09-01,37.1,5.7
All items,1969-10-01,37.3,5.67
All items,1969-11-01,37.5,5.93
All items,1969-12-01,37.7,5.9
All items,1970-01-01,37.9,6.16
All items,1970-02-01,38.1,6.42
All items,1970-03-01,38.3,6.09
All items,1970-04-01,38.5,6.06
All items,1970-05-01,38.6,6.04
All items,1970-06-01,38.8,6.01
All items,1970-07-01,38.9,5.71
All items,1970-08-01,39.0,5.69
All items,1970-09-01,39.2,5.66
All items,1970-10-01,39.4,5.63
All items,1970-11-01,39.6,5.6
All items,1970-12-01,39.8,5.57
All items,1971-01-01,39.9,5.28
All items,1971-02-01,39.9,4.72
All items,1971-03-01,40.0,4.44
All items,1971-04-01,40.1,4.16
All items,1971-05-01,40.3,4.4
All items,1971-06-01,40.5,4.38
All items,1971-07-01,40.6,4.37
All items,1971-08-01,40.7,4.36
All items,1971-09-01,40.8,4.08
All items,1971-10-01,40.9,3.81
All items,1971-11-01,41.0,3.54
All items,1971-12-01,41.1,3.27
All items,1972-01-01,41.2,3.26
All items,1972-02-01,41.4,3.76
All items,1972-03-01,41.4,3.5
All items,1972-04-01,41.5,3.49
All items,1972-05-01,41.6,3.23
All items,1972-06-01,41.7,2.96
All items,1972-07-01,41.8,2.96
All items,1972-08-01,41.9,2.95
All items,1972-09-01,42.1,3.19
All items,1972-10-01,42.2,3.18
All items,1972-11-01,42.4,3.41
All items,1972-12-01,42.5,3.41
All items,1973-01-01,42.7,3.64
All items,1973-02-01,43.0,3.86
All items,1973-03-01,43.4,4.83
All items,1973-04-01,43.7,5.3
All items,1973-05-01,43.9,5.53
All items,1973-06-01,44.2,6.0
All items,1973-07-01,44.2,5.74
All items,1973-08-01,45.0,7.4
All items,1973-09-01,45.2,7.36
All items,1973-10-01,45.6,8.06
All items,1973-11-01,45.9,8.25
All items,1973-12-01,46.3,8.94
All items,1974-01-01,46.8,9.6
All items,1974-02-01,47.3,10.0
All items,1974-03-01,47.8,10.14
All items,1974-04-01,48.1,10.07
All items,1974-05-01,48.6,10.71
All items,1974-06-01,49.0,10.86
All items,1974-07-01,49.3,11.54
All items,1974-08-01,49.9,10.89
All items,1974-09-01,50.6,11.95
All items,1974-10-01,51.0,11.84
All items,1974-11-01,51.5,12.2
All items,1974-12-01,51.9,12.1
All items,1975-01-01,52.3,11.75
All items,1975-02-01,52.6,11.21
All items,1975-03-01,52.8,10.46
All items,1975-04-01,53.0,10.19
All items,1975-05-01,53.1,9.26
All items,1975-06-01,53.5,9.18
All items,1975-07-01,54.0,9.53
All items,1975-08-01,54.2,8.62
All items,1975-09-01,54.6,7.91
All items,1975-10-01,54.9,7.65
All items,1975-11-01,55.3,7.38
All items,1975-12-01,55.6,7.13
All items,1976-01-01,55.8,6.69
All items,1976-02-01,55.9,6.27
All items,1976-03-01,56.0,6.06
All items,1976-04-01,56.1,5.85
All items,1976-05-01,56.4,6.21
All items,1976-06-01,56.7,5.98
All items,1976-07-01,57.0,5.56
All items,1976-08-01,57.3,5.72
All items,1976-09-01,57.6,5.49
All items,1976-10-01,57.9,5.46
All items,1976-11-01,58.1,5.06
All items,1976-12-01,58.4,5.04
All items,1977-01-01,58.7,5.2
All items,1977-02-01,59.3,6.08
All items,1977-03-01,59.6,6.43
All items,1977-04-01,60.0,6.95
All items,1977-05-01,60.2,6.74
All items,1977-06-01,60.5,6.7
All items,1977-07-01,60.8,6.67
All items,1977-08-01,61.1,6.63
All items,1977-09-01,61.3,6.42
All items,1977-10-01,61.6,6.39
All items,1977-11-01,62.0,6.71
All items,1977-12-01,62.3,6.68
All items,1978-01-01,62.7,6.81
All items,1978-02-01,63.0,6.24
All items,1978-03-01,63.4,6.38
All items,1978-04-01,63.9,6.5
All items,1978-05-01,64.5,7.14
All items,1978-06-01,65.0,7.44
All items,1978-07-01,65.5,7.73
All items,1978-08-01,65.9,7.86
All items,1978-09-01,66.5,8.48
All items,1978-10-01,67.1,8.93
All items,1978-11-01,67.5,8.87
All items,1978-12-01,67.9,8.99
All items,1979-01-01,68.5,9.25
All items,1979-02-01,69.2,9.84
All items,1979-03-01,69.9,10.25
All items,1979-04-01,70.6,10.49
All items,1979-05-01,71.4,10.7
All items,1979-06-01,72.2,11.08
All items,1979-07-01,73.0,11.45
All items,1979-08-01,73.7,11.84
All items,1979-09-01,74.4,11.88
All items,1979-10-01,75.2,12.07
All items,1979-11-01,76.0,12.59
All items,1979-12-01,76.9,13.25
All items,1980-01-01,78.0,13.87
All items,1980-02-01,79.0,14.16
All items,1980-03-01,80.1,14.59
All items,1980-04-01,80.9,14.59
All items,1980-05-01,81.7,14.43
All items,1980-06-01,82.5,14.27
All items,1980-07-01,82.6,13.15
All items,1980-08-01,83.2,12.89
All items,1980-09-01,83.9,12.77
All items,1980-10-01,84.7,12.63
All items,1980-11-01,85.6,12.63
All items,1980-12-01,86.4,12.35
All items,1981-01-01,87.2,11.79
All items,1981-02-01,88.0,11.39
All items,1981-03-01,88.6,10.61
All items,1981-04-01,89.1,10.14
All items,1981-05-01,89.7,9.79
All items,1981-06-01,90.5,9.7
All items,1981-07-01,91.5,10.77
All items,1981-08-01,92.2,10.82
All items,1981-09-01,93.1,10.97
All items,1981-10-01,93.4,10.27
All items,1981-11-01,93.8,9.58
All items,1981-12-01,94.1,8.91
All items,1982-01-01,94.4,8.26
All items,1982-02-01,94.7,7.61
All items,1982-03-01,94.7,6.88
All items,1982-04-01,95.0,6.62
All items,1982-05-01,95.9,6.91
All items,1982-06-01,97.0,7.18
All items,1982-07-01,97.5,6.56
All items,1982-08-01,97.7,5.97
All items,1982-09-01,97.7,4.94
All items,1982-10-01,98.1,5.03
All items,1982-11-01,98.0,4.48
All items,1982-12-01,97.7,3.83
All items,1983-01-01,97.9,3.71
All items,1983-02-01,98.0,3.48
All items,1983-03-01,98.1,3.59
All items,1983-04-01,98.8,4.0
All items,1983-05-01,99.2,3.44
All items,1983-06-01,99.4,2.47
All items,1983-07-01,99.8,2.36
All items,1983-08-01,100.1,2.46
All items,1983-09-01,100.4,2.76
All items,1983-10-01,100.8,2.75
All items,1983-11-01,101.1,3.16
All items,1983-12-01,101.4,3.79
All items,1984-01-01,102.1,4.29
All items,1984-02-01,102.6,4.69
All items,1984-03-01,102.9,4.89
All items,1984-04-01,103.3,4.55
All items,1984-05-01,103.5,4.33
All items,1984-06-01,103.7,4.33
All items,1984-07-01,104.1,4.31
All items,1984-08-01,104.4,4.3
All items,1984-09-01,104.7,4.28
All items,1984-10-01,105.1,4.27
All items,1984-11-01,105.3,4.15
All items,1984-12-01,105.5,4.04
All items,1985-01-01,105.7,3.53
All items,1985-02-01,106.3,3.61
All items,1985-03-01,106.8,3.79
All items,1985-04-01,107.0,3.58
All items,1985-05-01,107.2,3.57
All items,1985-06-01,107.5,3.66
All items,1985-07-01,107.7,3.46
All items,1985-08-01,107.9,3.35
All items,1985-09-01,108.1,3.25
All items,1985-10-01,108.5,3.24
All items,1985-11-01,109.0,3.51
All items,1985-12-01,109.5,3.79
All items,1986-01-01,109.9,3.97
All items,1986-02-01,109.7,3.2
All items,1986-03-01,109.1,2.15
All items,1986-04-01,108.7,1.59
All items,1986-05-01,109.0,1.68
All items,1986-06-01,109.4,1.77
All items,1986-07-01,109.5,1.67
All items,1986-08-01,109.6,1.58
All items,1986-09-01,110.0,1.76
All items,1986-10-01,110.2,1.57
All items,1986-11-01,110.4,1.28
All items,1986-12-01,110.8,1.19
All items,1987-01-01,111.4,1.36
All items,1987-02-01,111.8,1.91
All items,1987-03-01,112.2,2.84
All items,1987-04-01,112.7,3.68
All items,1987-05-01,113.0,3.67
All items,1987-06-01,113.5,3.75
All items,1987-07-01,113.8,3.93
All items,1987-08-01,114.3,4.29
All items,1987-09-01,114.7,4.27
All items,1987-10-01,115.0,4.36
All items,1987-11-01,115.4,4.53
All items,1987-12-01,115.6,4.33
All items,1988-01-01,116.0,4.13
All items,1988-02-01,116.2,3.94
All items,1988-03-01,116.5,3.83
All items,1988-04-01,117.2,3.99
All items,1988-05-01,117.5,3.98
All items,1988-06-01,118.0,3.96
All items,1988-07-01,118.5,4.13
All items,1988-08-01,119.0,4.11
All items,1988-09-01,119.5,4.18
All items,1988-10-01,119.9,4.26
All items,1988-11-01,120.3,4.25
All items,1988-12-01,120.7,4.41
All items,1989-01-01,121.2,4.48
All items,1989-02-01,121.6,4.65
All items,1989-03-01,122.2,4.89
All items,1989-04-01,123.1,5.03
All items,1989-05-01,123.7,5.28
All items,1989-06-01,124.1,5.17
All items,1989-07-01,124.5,5.06
All items,1989-08-01,124.5,4.62
All items,1989-09-01,124.8,4.44
All items,1989-10-01,125.4,4.59
All items,1989-11-01,125.9,4.66
All items,1989-12-01,126.3,4.64
All items,1990-01-01,127.5,5.2
All items,1990-02-01,128.0,5.26
All items,1990-03-01,128.6,5.24
All items,1990-04-01,128.9,4.71
All items,1990-05-01,129.1,4.37
All items,1990-06-01,129.9,4.67
All items,1990-07-01,130.5,4.82
All items,1990-08-01,131.6,5.7
All items,1990-09-01,132.5,6.17
All items,1990-10-01,133.4,6.38
All items,1990-11-01,133.7,6.2
All items,1990-12-01,134.2,6.25
All items,1991-01-01,134.7,5.65
All items,1991-02-01,134.8,5.31
All items,1991-03-01,134.8,4.82
All items,1991-04-01,135.1,4.81
All items,1991-05-01,135.6,5.03
All items,1991-06-01,136.0,4.7
All items,1991-07-01,136.2,4.37
All items,1991-08-01,136.6,3.8
All items,1991-09-01,137.0,3.4
All items,1991-10-01,137.2,2.85
All items,1991-11-01,137.8,3.07
All items,1991-12-01,138.2,2.98
All items,1992-01-01,138.3,2.67
All items,1992-02-01,138.6,2.82
All items,1992-03-01,139.1,3.19
All items,1992-04-01,139.4,3.18
All items,1992-05-01,139.7,3.02
All items,1992-06-01,140.1,3.01
All items,1992-07-01,140.5,3.16
All items,1992-08-01,140.8,3.07
All items,1992-09-01,141.1,2.99
All items,1992-10-01,141.7,3.28
All items,1992-11-01,142.1,3.12
All items,1992-12-01,142.3,2.97
All items,1993-01-01,142.8,3.25
All items,1993-02-01,143.1,3.25
All items,1993-03-01,143.3,3.02
All items,1993-04-01,143.8,3.16
All items,1993-05-01,144.2,3.22
All items,1993-06-01,144.3,3.0
All items,1993-07-01,144.5,2.85
All items,1993-08-01,144.8,2.84
All items,1993-09-01,145.0,2.76
All items,1993-10-01,145.6,2.75
All items,1993-11-01,146.0,2.74
All items,1993-12-01,146.3,2.81
All items,1994-01-01,146.3,2.45
All items,1994-02-01,146.7,2.52
All items,1994-03-01,147.1,2.65
All items,1994-04-01,147.2,2.36
All items,1994-05-01,147.5,2.29
All items,1994-06-01,147.9,2.49
All items,1994-07-01,148.4,2.7
All items,1994-08-01,149.0,2.9
All items,1994-09-01,149.3,2.97
All items,1994-10-01,149.4,2.61
All items,1994-11-01,149.8,2.6
All items,1994-12-01,150.1,2.6
All items,1995-01-01,150.5,2.87
All items,1995-02-01,150.9,2.86
All items,1995-03-01,151.2,2.79
All items,1995-04-01,151.8,3.13
All items,1995-05-01,152.1,3.12
All items,1995-06-01,152.4,3.04
All items,1995-07-01,152.6,2.83
All items,1995-08-01,152.9,2.62
All items,1995-09-01,153.1,2.55
All items,1995-10-01,153.5,2.74
All items,1995-11-01,153.7,2.6
All items,1995-12-01,153.9,2.53
All items,1996-01-01,154.7,2.79
All items,1996-02-01,155.0,2.72
All items,1996-03-01,155.5,2.84
All items,1996-04-01,156.1,2.83
All items,1996-05-01,156.4,2.83
All items,1996-06-01,156.7,2.82
All items,1996-07-01,157.0,2.88
All items,1996-08-01,157.2,2.81
All items,1996-09-01,157.7,3.0
All items,1996-10-01,158.2,3.06
All items,1996-11-01,158.7,3.25
All items,1996-12-01,159.1,3.38
All items,1997-01-01,159.4,3.04
All items,1997-02-01,159.7,3.03
All items,1997-03-01,159.8,2.77
All items,1997-04-01,159.9,2.43
All items,1997-05-01,159.9,2.24
All items,1997-06-01,160.2,2.23
All items,1997-07-01,160.4,2.17
All items,1997-08-01,160.8,2.29
All items,1997-09-01,161.2,2.22
All items,1997-10-01,161.5,2.09
